Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-07-01,0.00719,-0.028786,-0.015688,-0.025687,-0.016602,-0.015714,0.00709,-0.00192,-0.015158,-0.039955
2022-07-04,0.019468,0.029381,0.014044,0.020814,0.017979,0.022254,0.02085,0.009341,0.020299,-0.012749
2022-07-05,0.006047,0.008262,0.010426,0.006344,0.008184,0.001656,0.007692,0.011159,0.009838,0.043343
2022-07-06,-0.002847,-0.004221,-0.02495,-0.024764,0.024781,-0.02764,-0.018163,-0.044414,-0.044815,-0.031441
2022-07-07,0.016815,0.041895,0.016743,0.036473,0.02981,0.022838,0.016622,0.005211,0.009519,-0.001175
2022-07-08,-0.002808,0.015318,0.008234,-0.007127,0.004656,0.00285,0.002901,0.015272,0.017064,0.003824
2022-07-11,0.012203,0.020745,0.011556,0.021086,0.012694,0.019422,0.016303,0.020563,0.02362,0.009376
2022-07-12,-0.025966,-0.020554,-0.014623,-0.014938,-0.030044,-0.016496,-0.01837,-0.014064,-0.019409,-0.007112
2022-07-13,0.013329,0.029003,0.001546,-0.001784,0.014359,0.008505,-0.006589,0.003566,0.011656,0.010086
2022-07-14,0.003132,-0.00275,-0.007872,0.001341,0.034783,0.000234,0.001592,-0.01763,-0.003261,0.014906
2022-07-15,0.000312,0.014246,-0.007623,0,0.008012,0.013115,0.011126,-0.025042,-0.030752,0.086981
2022-07-19,0.014981,-0.001359,0.029942,0.023204,0.011439,0.006472,0.004978,0.023544,0.022502,0.017185
2022-07-20,0.0369,0.045826,0.035921,0.04143,0.041786,0.007809,0.026851,0.014081,0.015845,0.025922
2022-07-21,-0.006228,0.006508,0.00382,0.000838,0.003312,-0.000228,-0.010663,-0.001237,-0.007582,0.005908
2022-07-22,-0.006267,0.034483,0.003952,0.006276,0.029708,0.004103,-0.005132,0.00702,0.004584,0.002374
2022-07-25,-0.03033,-0.020833,-0.019099,-0.026611,-0.024043,-0.016572,-0.002579,0.005604,0.000217,-0.005361
2022-07-26,0.000619,-0.003191,-0.000595,0.002136,-0.010401,0,0.001552,0.005301,0.009776,-0.000877
2022-07-27,0.011142,-0.003202,0.002974,-0.005968,-0.007745,0.001385,0.001807,0.008113,-0.005594,-0.014176
2022-07-28,0.041934,0.043683,-0.005338,0.001286,0.00223,-0.020286,-0.004381,-0.001475,0.006923,0.003945
2022-07-29,-0.003525,0.016208,-0.000596,0.001713,-0.027814,0.005647,0.000777,0.001209,0.014396,0.016605
2022-08-01,0.028597,0.016758,-0.013425,-0.032065,0.044631,0.035096,0.021728,0.00483,0.013556,-0.002244
2022-08-02,-0.014044,-0.019658,-0.021621,-0.007951,-0.01625,-0.025995,-0.032405,-0.018024,-0.02884,0.007248
2022-08-03,-0.001163,-0.003443,0.018544,0.020036,0.005197,0.000696,-0.004186,-0.018083,0.007962,0.015012
2022-08-04,0.006985,0.01748,0.001214,0.002182,0.011817,-0.029917,-0.010247,-0.018001,-0.047822,0.008556
2022-08-05,-0.002312,0.012785,0.007577,0.017857,0.020438,0.015061,0.011415,-0.002538,-0.003139,0.013211
2022-08-08,0.003766,-0.009862,0.000602,0.003423,-0.007511,-0.003297,0.002887,0.020498,0.001124,0.00311
2022-08-09,-0.007792,-0.006773,-0.007365,-0.024733,0.000541,-0.018904,-0.033499,-0.017592,-0.004269,0.014906
2022-08-10,-0.008435,-0.002206,0.00212,-0.019677,-0.019989,0.00578,-0.001083,0.006063,0.004964,-0.027376
2022-08-12,0.022294,0.041608,0.044122,0.021856,0.044836,0.022509,0.034156,0.019061,0.014818,0.019449
2022-08-15,0.01693,-0.033192,0.001737,0.011349,0.010904,-0.001171,0.007077,-0.0011,-0.005974,0.009243
2022-08-16,-0.005079,0.001996,-0.001734,0.001726,-0.005219,-0.005393,-0.005726,-0.001377,-0.00868,0.006575
2022-08-17,0.000851,0.024303,0.011577,0.03059,0.001224,0.029232,0.016492,0.012409,0.027616,0.027995
2022-08-18,-0.020686,-0.027032,-0.00887,-0.017559,-0.011703,-0.018094,-0.008241,-0.00926,-0.008084,-0.01702
2022-08-19,0.001736,-0.017589,0.015589,0.021277,0.007777,0.003032,0.006232,0.000687,0.003965,-0.012467
2022-08-22,-0.010687,-0.01587,-0.005259,-0.005833,-0.013153,0,0.005677,0.006044,-0.002413,-0.003974
2022-08-23,-0.007591,-0.015712,-0.023146,-0.03311,-0.029856,-0.019767,-0.013087,-0.012698,-0.002419,-0.002347
2022-08-24,-0.006178,-0.015753,0.01916,-0.013871,-0.012273,-0.003559,0.00312,0.006915,0.005291,-0.009293
2022-08-25,0.000592,0.002134,0.01349,0.001758,0.005007,0.004286,0.003629,0.00467,0.014693,-0.002612
2022-08-26,0.004438,-0.019378,-0.000283,0.010092,-0.000554,-0.000474,0.007231,0.000684,-0.005403,0.011071
2022-08-29,-0.031812,-0.045168,-0.025354,-0.018679,-0.038035,-0.008539,-0.016667,-0.009426,-0.017818,-0.028023
2022-08-30,0.003346,0.000682,0.015259,0.002656,0.020921,0.007177,0.012516,0.004413,0.011505,0.007055
2022-08-31,-0.010612,0.018864,0.001431,-0.016777,-0.00658,-0.001663,-0.010301,-0.009886,0.004374,-0.010146
